prompt_bucket,output_bucket,baseline_full_fp16_tp1
≤256,≤128,711.9850987000973
≤256,129-256,3617.7064867893937
≤256,257-512,3429.4259088390313
≤256,>512,1798.812250699851
257-512,≤128,814.9684900999991
257-512,129-256,3377.0749943621904
257-512,257-512,2874.0194207421155
257-512,>512,2789.8341049949527
513-1024,≤128,824.018951495236
513-1024,129-256,3429.7208135452784
513-1024,257-512,2549.351353241946
513-1024,>512,2458.7934257288
1025-2048,≤128,64060.50987055641
1025-2048,129-256,58998.06335555183
1025-2048,257-512,58880.926893152326
1025-2048,>512,4415.855626233679
>2048,≤128,59002.39357460522
>2048,129-256,58969.54924439196
>2048,257-512,58768.176778906476
